Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
326,326,0,0,194340,-23194030
327,327,0,0,203155,-23194030
328,328,0,1,537122,-23194030
329,329,0,0,560970,-23194030
330,330,0,0,560970,-23194030
331,331,0,0,560970,-23194030
332,332,0,0,584818,-23194030
333,333,0,0,584818,-18204588
334,334,0,0,584818,-18204588
335,335,0,0,609208,-18204588
336,336,0,0,609208,-18204588
337,337,0,0,633598,-18204588
338,338,0,1,1244985,-18204588
339,339,0,0,1244985,-18204588
340,340,0,0,1293975,-18204588
341,341,0,0,1293975,-18204588
342,342,0,0,1293975,-18204588
343,343,0,0,1342965,-11718078
344,344,0,0,1342965,-11718078
345,345,0,0,1393020,-11718078
346,346,0,0,1393020,-11718078
347,347,0,0,1393020,-11718078
348,348,0,1,2264205,-11718078
349,349,0,0,2264205,-11718078
350,350,0,0,2264205,-11718078
351,351,0,0,2344413,-11718078
352,352,0,0,2344413,-11718078
353,353,0,0,2344413,-4267961
354,354,0,0,2424621,-4267961
355,355,0,0,2424621,-4267961
356,356,0,0,2504829,-4267961
357,357,0,0,2504829,-4267961
358,358,0,1,3420718,-4267961
359,359,0,0,3532536,-4267961
360,360,0,0,3532536,-4267961
361,361,0,0,3532536,-4267961
362,362,0,0,3644354,-4267961
363,363,0,0,3644354,3533063
364,364,0,0,3758454,3533063
365,365,0,0,3758454,3533063
366,366,0,0,3758454,3533063
367,367,0,0,3870272,3533063
368,368,0,1,4747104,3533063
369,369,0,0,4747104,3533063
370,370,0,0,4887054,3533063
371,371,0,0,4887054,3533063
372,372,0,0,5027004,3533063
373,373,0,0,5027004,11043446
374,374,0,0,5027004,11043446
375,375,0,0,5166954,11043446
376,376,0,0,5166954,11043446
377,377,0,0,5166954,11043446
378,378,0,1,5957232,11043446
379,379,0,0,5957232,11043446
380,380,0,0,5957232,11043446
381,381,0,0,6117474,11043446
382,382,0,0,6117474,11043446
383,383,0,0,6274574,17645556
384,384,0,0,6274574,17645556
385,385,0,0,6274574,17645556
386,386,0,0,6431674,17645556
387,387,0,0,6431674,17645556
388,388,0,1,6765335,17645556
389,389,0,0,6768640,17645556
390,390,0,0,6768640,17645556
391,391,0,0,6933890,17645556
392,392,0,0,6933890,17645556
393,393,0,0,6933890,22796465
394,394,0,0,7099140,22796465
395,395,0,0,7099140,22796465
396,396,0,0,7099140,22796465
397,397,0,0,7267695,22796465
398,398,0,1,7082979,22796465
399,399,0,0,7244029,22796465
400,400,0,0,7244029,22796465
401,401,0,0,7244029,22796465
402,402,0,0,7405079,22796465
403,403,0,0,7405079,26072599
404,404,0,0,7405079,26072599
405,405,0,0,7566129,26072599
406,406,0,0,7566129,26072599
407,407,0,0,7727179,26072599
408,408,0,1,6983489,26072599
409,409,0,0,6983489,26072599
410,410,0,0,7126128,26072599
